company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address
ROBERT GRAY DESIGN LTD,04639521,Active,Private limited company,,,2003-01-16,,,71129,"12 Donnington Drive Shanklin PO37 7JA "
MYSTICAL SOUL SANCTUARY LTD.,15325872,Active,Private limited company,,,2023-12-04,,,85600 96040,26 Ashey Road Ryde PO33 2UW United Kingdom
ISLAND FINE ARTS LIMITED,04431546,Active,Private limited company,,,2002-05-03,,,47781,East Quay Kite Hill Wootton Bridge PO33 4LA England
STONE CRABS PRODUCTIONS,04693145,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2003-03-11,,,90010,26 Albert Road Shanklin PO37 7NS England
WIGHT FIRE TRAINING LTD,06775285,Active,Private limited company,,,2008-12-17,,,85600,"3 Hornbeam Square Bullen Village Ryde PO33 1RF "
NORTON RESIDENTIAL LIMITED,07866383,Active,Private limited company,,,2011-11-30,,,41100,"9 St Johns Place Newport PO30 1LH "
GENIE LETTINGS LIMITED,11717819,Active,Private limited company,,,2018-12-07,,,68310,Exchange House St Cross Lane Newport PO30 5BZ England
EV CONNEXTIONS LTD,11035311,Active,Private limited company,,,2017-10-27,,,43210,15 Brookfield Gardens Ryde PO33 3NP England
P WOODFORD LIMITED,06071843,Active,Private limited company,,,2007-01-29,,,43390,39 High Street Shanklin PO37 6JJ England
BRIAREUS SECURITIES,00931082,Active,Private unlimited company,,,1968-04-25,,,68100,"Sainham House Godshill Isle Of Wight PO38 3JS "
RLW ENGINEERING LTD,10385910,Active,Private limited company,,,2016-09-20,,,30110,Hill Farm Hill Top Newchurch Sandown PO36 0NU England
AMW CARPENTRY & INSTALLATIONS LTD,11840544,Active,Private limited company,,,2019-02-21,,,43320,52 Wellington Road Binstead Ryde PO33 3QR United Kingdom
CITI FINANCIALS LTD,07227253,Active,Private limited company,,,2010-04-19,,,63990,"71-73 St James Street Newport PO30 1LQ "
STITCH DEPARTMENT CIC,13775636,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2021-12-01,,,14190 47710 96090,29-30 Cross Street Ryde PO33 2AA United Kingdom
ANOTHER WAY ROUND LTD,09915266,Active,Private limited company,,,2015-12-14,,,85600,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
AVERRUNCUS SOLUTIONS LTD,15259644,Active,Private limited company,,,2023-11-03,,,70229,Greatwood Lodge Cowleaze Hill Shanklin PO37 6RB United Kingdom
COMPOSITE CRAFT LIMITED,04802835,Active,Private limited company,,,2003-06-18,,,30120,65 Newport Road Cowes PO31 7PN England
HARWOODS (ISLE OF WIGHT) LIMITED,07890383,Active,Private limited company,,,2011-12-22,,,99999,"Lushington Garage Lushington Hill Wootton Bridge, Ryde Isle Of Wight PO33 4RH "
CHRISTOPHER JELF LIMITED,10832909,Active,Private limited company,,,2017-06-23,,,74202,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT England
R H TAYLOR (PERRETON) LIMITED,00386625,Active,Private limited company,,,1944-03-31,,,01450,"Perreton Farm Budbridge Lane, Merstone Newport PO30 3DL "
PROACTIVE HR LTD,04070235,Active,Private limited company,,,2000-09-12,,,70229,"St. Vincent Ferrer Ashknowle Lane Whitwell PO38 2PP "
DAVID BUCKERIDGE INVESTIGATIONS LIMITED,05883383,Active,Private limited company,,,2006-07-21,,,01500 68209 70229,"Yaverland Manor Farm Yaverland Road Sandown PO36 8QW "
WIGHT EXPEDITIONS LTD,14413995,Active,Private limited company,,,2022-10-12,,,93199,42 Church Road Cowes PO31 8JH United Kingdom
PHOENIX FLOORING PROJECTS LIMITED,11071621,Active,Private limited company,,,2017-11-20,,,43330,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
NVRJ MASONS LIMITED,13523322,Active,Private limited company,,,2021-07-21,,,56102,6-8 Town Lane Newport PO30 1JU England
VECTIS 741 LIMITED,07971202,Liquidation,Private limited company,,,2012-03-01,,,62020,Arnold House 2 New Road Brading Sandown PO36 0DT England
1 HEYFORD TERRACE (FREEHOLD) LIMITED,11113714,Active,Private limited by guarantee without share capital,,,2017-12-15,,,98000,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
ISLAND BOOK-KEEPING BUREAU LIMITED,03018160,Active,Private limited company,,,1995-02-03,,,64999,"8 Cherrywood View Arreton Newport PO30 3AY "
I TO I RESEARCH LIMITED,04318770,Active,Private limited company,,,2001-11-07,,,73200,St Catherine's House St Catherine's Road Niton PO38 2NA United Kingdom
SCINDE COURT MANAGEMENT COMPANY LIMITED,02305310,Active,Private limited company,,,1988-10-13,,,98000,30 Chatfield Lodge Newport PO30 1XR England
T.M. TAYLOR & SONS LIMITED,02762326,Active,Private limited company,,,1992-11-05,,,96090,"Exchange House St Cross Lane Newport PO30 5BZ "
ESCAPE @ TAKE 2 LIMITED,04616735,Active,Private limited company,,,2002-12-13,,,96020,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
RIVERSIDE VENTURES (ISLE OF WIGHT) LIMITED,03513635,Active,Private limited company,,,1998-02-19,,,96090,"The Riverside Centre The Quay Newport PO30 2QR "
LEADLINE MARKETING IOW LTD,16124780,Active,Private limited company,,,2024-12-09,,,82200,Innovation Centre St Cross Business Park Monks Brook Newport PO30 5WB England
THE EXCHANGE VINYL LTD,09341190,Active,Private limited company,,,2014-12-04,,,32990,C/O Apple Accountancy 5 Holyrood Street Newport PO30 5AU United Kingdom
BUDBRIDGE ESTATES LIMITED,07957588,Active,Private limited company,,,2012-02-21,,,41100 41202 43999,"The Office Great Budbridge Manor Merstone Newport PO30 3DH "
SHANKLIN THEATRE LIMITED,07198169,Active,Private limited company,,,2010-03-22,,,90040,"Shanklin Theatre Steephill Road Shanklin PO37 6AJ "
RADIX NUTRITION LIMITED,05423455,Active,Private limited company,,,2005-04-13,,,46170 46760 47910 72190,Grey Gables Church Hill Godshill PO38 3HY England
SUM OF THE PARTS LIMITED,03945381,Active,Private limited company,,,2000-03-10,,,74990,East Quay Kite Hill Wootton Bridge PO33 4LA England
KITOVA & JOHN LTD,12309531,Active,Private limited company,,,2019-11-12,,,86210,16c Sandown Road Lake PO36 9JP England
ISLAND COMMUNITY VENTURES LIMITED,07474562,Active,Private limited company,,,2010-12-21,,,47110,"Riverside Centre The Quay Newport PO30 2QR "
ARC BIODIVERSITY AND CLIMATE LTD,08823037,Active,Private limited company,,,2013-12-20,,,74901,The Bunker Browns Golf Course Culver Parade Sandown PO36 8QA England
A CONTROL LIMITED,03945484,Active,Private limited company,,,2000-03-10,,,62090,03945484 Priory Road Downdale Lodge Shanklin PO37 6SA England
MS FRIDAY ACCOUNTANCY SERVICES LTD,11288513,Active,Private limited company,,,2018-04-03,,,69202,Onward Business Hub College Close Sandown PO36 8EB England
JMH PUBLICATIONS LIMITED,05403437,Active,Private limited company,,,2005-03-24,,,58290,"33 Hillrise Avenue Binstead Ryde PO33 3TZ "
THE PHOENIX PROJECT (IOW),07508521,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2011-01-27,,,88100,"The Phoenix Centre 36 Salters Road Haylands Ryde PO33 3HU "
THE LIMES RESIDENTIAL CARE HOME LIMITED,08302090,Active,Private limited company,,,2012-11-21,,,87300,"43 Foreland Road Bembridge PO35 5XN "
KCHR ISLE OF WIGHT LTD,12113150,Active,Private limited company,,,2019-07-19,,,78300,47 Bellevue Road Cowes PO31 7HJ United Kingdom
CHALLEN BUILDING & RENOVATIONS LIMITED,05068183,Active,Private limited company,,,2004-03-09,,,43210,"Vision Accounting, Fortis House Cothey Way Ryde PO33 1QT England"
PEEKABOO LIMITED,08329592,Active,Private limited company,,,2012-12-13,,,73110,"Unit 1 Enterprise Court Nicholson Road Ryde PO33 1BD "
ISLE OF WIGHT GLASS MUSEUM LTD.,09492023,Active,Private limited company,,,2015-03-16,,,91020,39 Edinburgh Road Freshwater PO40 9DN England
CAROLYN DE LA DRAPIERE LIMITED,04465557,Active,Private limited company,,,2002-06-20,,,14132,C/O Isle Of Wight Accountants Cemoc House Rectory Drive Wootton Bridge PO33 4QQ England
APS PLUMBING AND HEATING LIMITED,04732760,Active,Private limited company,,,2003-04-13,,,43220,1 Upton Cottages Stroud Wood Road Ryde PO33 4BX England
THE COURTYARD AESTHETIC CLINIC LIMITED,12511639,Active,Private limited company,,,2020-03-11,,,82990,5 The Courtyard St Cross Business Park Newport PO30 5BF England
SIFFCO LIMITED,06244158,Active,Private limited company,,,2007-05-11,,,49410,"Avalon Appley Rise Ryde PO33 1LE "
HOME CONSULTANCY LTD,07630836,Active,Private limited company,,,2011-05-11,,,70229,"6 Ratcliffe Avenue Ryde PO33 3DN "
COMMUNITY ACTION ISLE OF WIGHT,03340032,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,1997-03-25,,,82990,"Riverside Centre The Quay Newport PO30 2QR "
ROEBECK COUNTRY PARK LTD,09282091,Active,Private limited company,,,2014-10-27,,,68209,Spinnakers Main Road Bouldnor Yarmouth PO41 0UR England
FARNEY LIMITED,07871680,Active,Private limited company,,,2011-12-05,,,68209,60 - 66 Lugley Street Newport PO30 5EU England
ARTHUR WHEELER ESTATE AGENTS LIMITED,04710182,Active,Private limited company,,,2003-03-25,,,68310,"46 Regent Street Shanklin Isle Of Wight PO37 7AA "
CLIFFORD J. MATTHEWS LIMITED,02208052,Active,Private limited company,,,1987-12-23,,,02100 02200,"Hornbeam House Castlehaven Lane Niton Undercliff Ventnor PO38 2NB "
G C ENGINEERING (ISLE OF WIGHT) LTD,04493140,Active,Private limited company,,,2002-07-23,,,25620,"4 Marlbrough Close Ryde P033 1AP "
OAKRAY CARE (BROADHURST) LIMITED,10665925,Active,Private limited company,,,2017-03-13,,,87300,East Quay Kite Hill Wootton Bridge PO33 4LA England
OAKRAY CARE (FAIRHAVEN) LIMITED,10665635,Active,Private limited company,,,2017-03-13,,,87300,East Quay Kite Hill Wootton Bridge PO33 4LA England
OAKRAY CARE GROUP LIMITED,10663104,Active,Private limited company,,,2017-03-10,,,68209 68320 87300,East Quay Kite Hill Wootton Bridge PO33 4LA England
JVP LETTINGS LTD,14703848,Active,Private limited company,,,2023-03-03,,,68209,17 Cliff Path Lake Sandown Isle Of Wight PO36 8PL United Kingdom
DINOSAUR EXPEDITIONS C.I.C.,08451872,Active,Private limited company,Community Interest Company (CIC),,2013-03-19,,,79901 90030 91020,"Dinosaur Farm Military Road Brighstone Newport PO30 4PG "
LANE END BEACH HUTS LIMITED,03670995,Active,Private limited company,,,1998-11-20,,,74990,Steephill Chambers 3 Steephill Road Shanklin PO37 6AB England
FALCONIOW LTD,14753384,Active,Private limited company,,,2023-03-23,,,56102,45 School Green Road Freshwater Isle Of Wight PO40 9AS England
R C  ORCHARD LIMITED,06007672,Active,Private limited company,,,2006-11-23,,,71111,"18 Fernside Way Wootton Isle Of Wight PO33 4QT "
MACKENZIE - KINMONT LIMITED,02521990,Active,Private limited company,,,1990-07-13,,,68320 82302 82990,"Tara House Luton Lane 437 Newport Road Northwood PO31 8PS "
CROSSFIELD WARD ASSOCIATES LIMITED,08441753,Active,Private limited company,,,2013-03-12,,,96090,"18 Ward Avenue Cowes PO31 8AY "
HASTINGS & DISTRICT TRANSPORT LIMITED,12365234,Active,Private limited company,,,2019-12-16,,,99999,6 Greenlands Close Chillerton Newport PO30 3EX England
PARSONS & COLSON CONSULTANTS LTD.,02803252,Active,Private limited company,,,1993-03-25,,,62090,"Unit 5 Enterprise Court Nicholson Road Ryde PO33 1BD "
MATTINSON ASSOCIATES LIMITED,05082084,Active,Private limited company,,,2004-03-23,,,71129,The Studio @ The Old Granary Ford Farm Whitwell Ventnor PO38 2NZ England
APTER CONSULTING LTD,13114685,Active,Private limited company,,,2021-01-05,,,70229,9 St John's Place Newport PO30 1LH United Kingdom
ACCUSURV LIMITED,14756982,Active,Private limited company,,,2023-03-25,,,74902,1 Langley Court Pyle Street Newport PO30 1LA England
BLUE BY THE SEA LIMITED,10578105,Active,Private limited company,,,2017-01-23,,,47710,Blue Quay Street Yarmouth PO41 0PB United Kingdom
SOLENT BEDS & SOFAS LIMITED,06570811,Active,Private limited company,,,2008-04-19,,,47599,"6d, 6e & 6f Lake Industrial Way Newport Road Sandown PO36 9PL United Kingdom"
AMELIA COURT (SANDOWN) MANAGEMENT COMPANY LIMITED,06864345,Active,Private limited by guarantee without share capital,,,2009-03-31,,,70100,60 - 66 Lugley Street Newport PO30 5EU England
SANDRINGHAM HOTELS (ISLE OF WIGHT) LIMITED,01303729,Active,Private limited company,,,1977-03-21,,,55100,"Sandringham Hotel Esplanade Sandown PO36 8AH "
LILY OLIVER LIMITED,06764224,Active,Private limited company,,,2008-12-03,,,74990,17 Nelson Place Ryde PO33 2ET England
YUMMY MUMMY MAKES LIMITED,06764172,Active,Private limited company,,,2008-12-02,,,74990,17 Nelson Place Ryde PO33 2ET England
NEWPORT NURSERY LIMITED,10664701,Active,Private limited company,,,2017-03-10,,,47760,Little Gables High Street Godshill Ventnor PO38 3HH United Kingdom
DATA COMMUNICATIONS AND NETWORKS LIMITED,02582367,Active,Private limited company,,,1991-02-14,,,55100,"41 Victoria Avenue Shanklin PO37 6LT "
FORAY DESIGN ASSOCIATES LTD,05709767,Active,Private limited company,,,2006-02-15,,,71111,"8 Quay Lane Brading Sandown PO36 0AT "
LUCKY H LIMITED,09036515,Active,Private limited company,,,2014-05-13,,,56103,"111 High Street Ryde PO33 2SZ "
ORIEL LABORATORIES LIMITED,05079066,Active,Private limited company,,,2004-03-19,,,62020,Pimento House The Parade Cowes PO31 7QJ England
WEAVER BROTHERS LIMITED,00585726,Active,Private limited company,,,1957-06-18,,,96030,"Lane End Rd Bembridge Isle Of Wight PO35 5UE "
POWERSAIL ISLAND CHANDLERY LIMITED,04022018,Active,Private limited company,,,2000-06-27,,,47640,"2-4 Birmingham Road Cowes PO31 7BH "
CARFAX MANAGEMENT LIMITED,06074714,Active,Private limited company,,,2007-01-30,,,98000,30 Chatfield Lodge Newport PO30 1XR England
EWC ACCOUNTANTS (IOW) LIMITED,12938686,Active,Private limited company,,,2020-10-08,,,69201 69203,Office 4 Baring Chambers Denmark Road Cowes PO31 7SY England
F W DEVELOPMENTS (IW) LIMITED,05306328,Active,Private limited company,,,2004-12-07,,,41202,Frome West 23 Rew Street Gurnard Cowes PO31 8NN England
JOHN WOOLDRIDGE DEVELOPMENTS (IW) LIMITED,02212026,Active,Private limited company,,,1988-01-20,,,99999,Copse Lodge Youngwoods Way Alverstone Garden Village Sandown PO36 0HE United Kingdom
WOOLDRIDGE HOLDINGS LIMITED,02205861,Active,Private limited company,,,1987-12-16,,,99999,Copse Lodge Youngswood Way Alverstone Garden Village Sandown PO36 0HE United Kingdom
STEINBERG HOUSE (IOW) LIMITED,05392182,Active,Private limited by guarantee without share capital,,,2005-03-14,,,98000,"20a Belvedere Street Ryde Isle Of Wight PO33 2JW "
IOW ESPRESSO LLP,OC336694,Active,Limited liability partnership,,,2008-04-21,,," ","15-16 Quay Street Newport PO30 5BG "
THE MOORINGS CARE LIMITED,07192402,Active,Private limited company,,,2010-03-17,,,86900,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
PEOSYSPRO LIMITED,10093084,Active,Private limited company,,,2016-03-31,,,70229,29a Watergate Road Newport PO30 1XP United Kingdom
CHRIS PHILLIPS ASSOCIATES LIMITED,05405201,Active,Private limited company,,,2005-03-29,,,85590,"10 Leighton Mount 72 Victoria Avenue Shanklin PO37 6LY "
HEARN NOMINEES LIMITED,01019816,Active,Private limited company,,,1971-08-04,,,64999,"9 St. Johns Place Newport Isle Of Wight PO30 1LH "
DC & JONES HOLDINGS LTD,14802175,Active,Private limited company,,,2023-04-14,,,64209 68209,48 Foreland Road Bembridge PO35 5XW United Kingdom
AUTUMN HOUSE CARE LIMITED,07189110,Active,Private limited company,,,2010-03-15,,,87300,9 St John's Place Newport Isle Of Wight PO30 1LH United Kingdom
MIDAS BUSINESS SERVICES LTD,03338303,Active,Private limited company,,,1997-03-24,,,70229,"18 Greenham Drive Seaview Isle Of Wight PO34 5LA "
NORTHWOOD PRIMARY SCHOOL ACADEMY TRUST,08405075,Active,"Private Limited Company by guarantee without share capital, use of 'Limited' exemption",,,2013-02-15,,,85200,"Northwood Primary School Wyatts Lane Northwood Cowes PO31 8PU "
GRAYTHORP ENERGY LIMITED,11344629,Active,Private limited company,,,2018-05-03,,,35110 35300,The Quarries Broad Lane Shalcombe Yarmouth PO41 0UQ United Kingdom
KINGSWOOD FORESTERS LIMITED,00478313,Active,Private limited company,,,1950-02-13,,,96090,"The Old West Rectory Beatrice Avenue Whippingham PO32 6LW "
YUNIPAY LIMITED,14431636,Active,Private limited company,,,2022-10-20,,,64999,"Searenity, Limerstone Rd Isle Of Wight PO30 4AE United Kingdom"
CFO PROPERTY SOLUTIONS LTD,15208571,Active,Private limited company,,,2023-10-13,,,98000,8 Windmill Lane Freshwater PO40 9DX United Kingdom
SWAY ENTERPRISE LIMITED,10248563,Active,Private limited company,,,2016-06-23,,,41100,Flat 2 Deepdene 36 Victoria Avenue Shanklin PO37 6LS England
CLAREMONT 61 MANAGEMENT LIMITED,06071093,Active,Private limited by guarantee without share capital,,,2007-01-26,,,98000,"The Estate Office Church Mews, Beatrice Avenue Whippingham PO32 6LW "
PROSPERITY PURPOSE LIMITED,13039379,Active,Private limited company,,,2020-11-24,,,99999,Enchanted Manor Sandrock Road Niton Undercliff Ventnor PO38 2NG England
PALM COURT MANAGEMENT IOW LIMITED,08838389,Active,Private limited by guarantee without share capital,,,2014-01-09,,,98000,"John Rowell The Estate Office Church Mews, Beatrice Avenue Whippingham PO32 6LW "
WAVERLEY COURT MANAGEMENT LIMITED,02464546,Active,Private limited company,,,1990-01-29,,,98000,The Estate Office Beatrice Avenue East Cowes PO32 6LW England
JAWIC BLADE SPECIALISTS LTD,15409998,Active,Private limited company,,,2024-01-13,,,33150,34 Cromwell Avenue East Cowes PO32 6GE United Kingdom
IFPL GROUP LIMITED,05939432,Active,Private limited company,,,2006-09-19,,,64202,"Ifpl Elm Lane Calbourne Newport PO30 4JY "
8 VERNON SQUARE RTM COMPANY LIMITED,13363778,Active,Private limited by guarantee without share capital,,,2021-04-28,,,98000,"20 Well Street Ryde PO33 2SG "
PERSONALISED PERFORMANCE LTD,16184573,Active,Private limited company,,,2025-01-15,,,70229 86900,5 Holyrood Street Newport PO30 5AU United Kingdom
MARKET MEDIA IMPACT LTD,16148657,Active,Private limited company,,,2024-12-23,,,73110,1 Bartletts Close Newchurch Isle Of Wight PO36 0FB United Kingdom
WIGHT MOUSE LTD,09028076,Active,Private limited company,,,2014-05-07,,,56302,"The Wight Mouse Inn Church Place Chale Ventnor PO38 2HA "
DALWOOD LIMITED,01711341,Active,Private limited company,,,1983-03-31,,,47890,"7 Lincoln Close Bembridge Isle Of Wight PO35 5RP "
A.I.O.W. LIMITED,07568909,Active,Private limited company,,,2011-03-17,,,33190,"28 Daish Way Newport PO30 5XJ "
RYDE SCHOOL CONSTRUCTION LIMITED,10513227,Active,Private limited company,,,2016-12-06,,,41100,"Ryde School,  7 Queens Road Ryde PO33 3BE United Kingdom"
PEER STUDIOS COMMUNITY INTEREST COMPANY,14871867,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2023-05-16,,,90030 90040,29a Pier Street Ventnor PO38 1SX United Kingdom
FOXGLOVE INTERNATIONAL LIMITED,15921646,Active,Private limited company,,,2024-08-28,,,64999,"C/O Iow Accountants Ltd Cemoc House, Rectory Drive Wootton Bridge PO33 4QQ United Kingdom"
WIGHT BLUESKY ARTS COMMUNITY INTEREST COMPANY,06122987,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2007-02-21,,,90020,"42 Fellows Road Cowes PO31 7JW "
FARNHAMHOMES LIMITED,06070378,Active,Private limited company,,,2007-01-26,,,68310,Trigg House Monks Brook St Cross Business Centre Newport PO30 5WB United Kingdom
SPRINGFIELD AND TEAKWOOD MANAGEMENT LIMITED,05109063,Active,Private limited company,,,2004-04-22,,,98000,"3 Springfield, Spring Gardens Ventnor Isle Of Wight PO38 1QX "
STAR COURT LIMITED,15565024,Active,Private limited by guarantee without share capital,,,2024-03-15,,,98000,The Estate Office Beatrice Avenue East Cowes PO32 6LW England
FIELD COURT (MANAGEMENT) COMPANY LIMITED,00955486,Active,Private limited company,,,1969-06-04,,,98000,"The Estate Office Church Mews Whippingham PO32 6LW "
YTEES DESIGNS LIMITED,15277697,Active,Private limited company,,,2023-11-13,,,82990,Office 4 Baring Chambers Denmark Road Cowes PO31 7SY England
"EDWARD PRESTON AND SONS, LIMITED",00055714,Liquidation,Private limited company,,,1898-01-18,,,41100,"Edward Preston And Sons Exchange House St Cross Lane Newport PO30 5BZ "
MATT SMITH LEADERSHIP CONSULTANCY LIMITED,07148834,Active,Private limited company,,,2010-02-06,,,85590,"74 Fishbourne Lane Ryde PO33 4EU "
ARID DEVELOPMENTS LTD,11162553,Active,Private limited company,,,2018-01-22,,,41100,16c Sandown Road Lake PO36 9JP England
JR FENCING & SONS LIMITED,05335771,Active,Private limited company,,,2005-01-18,,,43999 47990,1 Langley Court Pyle Street Newport PO30 1LA United Kingdom
WATCHFRONT LIMITED,02337601,Active,Private limited company,,,1989-01-23,,,63110 63990,"Longstock Barrack Shute Niton Ventnor PO38 2BE "
BLACKWATER HOUSE RESIDENTS RTM COMPANY LIMITED,06806796,Active,Private limited by guarantee without share capital,,,2009-02-02,,,98000,"8 Gunville Road Newport PO30 5LB "
BUSINESS FORUMS INTERNATIONAL LIMITED,03197541,Active,Private limited company,,,1996-05-13,,,82990,Landguard Manor Landguard Manor Road Shanklin Isle Of Wight PO37 7JB United Kingdom
SALTYS MANAGER FLAT LIMITED,12383294,Active,Private limited company,,,2020-01-02,,,68209,Quay Street Quay Street Yarmouth PO41 0PB England
ISLE OF THERAPY LTD,10435379,Active,Private limited company,,,2016-10-19,,,85600,42 Station Road Brading Sandown PO36 0DY England
DNA PAYROLLS LTD,14516129,Active,Private limited company,,,2022-11-30,,,69202,The Round House 233 Fairlee Road Newport PO30 2JU England
WEST WIGHT SAND AND BALLAST LIMITED,10516376,Liquidation,Private limited company,,,2016-12-08,,,47990,Arnold House 2 Newroad Brading PO36 0DT United Kingdom
STUDENT HABITAT LTD,15494198,Active,Private limited company,,,2024-02-16,,,68100,1 Highfield Road Shanklin PO37 6PP England
ADVENTURES AND PLAY LTD,12571896,Active,Private limited company,,,2020-04-24,,,32300 77210 96040,"Building 41 Newport Road Cowes PO31 8BX "
ISLAND GETAWAYS LTD,13199755,Active,Private limited company,,,2021-02-12,,,99999,Champion Farm Highwood Lane Rookley Ventnor PO38 3NN United Kingdom
WYLD BARS LIMITED,11838257,Active,Private limited company,,,2019-02-20,,,56101 56302,Building 11 Newport Road Cowes PO31 8BX England
WIGHT TILE LIMITED,04205274,Active,Private limited company,,,2001-04-25,,,43330,"16c Sandown Road Lake, Sandown Isle Of Wight PO36 9JP "
DARLINGTON HOUSE HOTELS LIMITED,00820495,Active,Private limited company,,,1964-09-23,,,68209 70229,"Unit 18 Prospect Business Centre Prospect Road Cowes PO31 7AD "
NINE BYTES LTD,13233409,Active,Private limited company,,,2021-02-27,,,62012,5 Cothey Way Ryde PO33 1QY England
BLOOMSBURY SQUARE GLOBAL CAPITAL LIMITED,16275148,Active,Private limited company,,,2025-02-25,,,64209,"Northwood House, Flat Ward Avenue Cowes PO31 8AZ United Kingdom"
SMOKING LOBSTER CATERING LIMITED,14022678,Active,Private limited company,,,2022-04-04,,,56210,East Quay Kite Hill Wootton Bridge PO33 4LA United Kingdom
POPPY AND LIME LAW LIMITED,15408860,Active,Private limited company,,,2024-01-12,,,69102,Moorfield Chase Chilton Lane Brighstone Newport PO30 4DR United Kingdom
AB AESTHETICS IOW LTD,15505225,Active,Private limited company,,,2024-02-19,,,96020,50 Kingslea Park East Cowes PO32 6JW United Kingdom
SHINY HOMES LTD,08512894,Active,Private limited company,,,2013-05-01,,,41100,Icrtouch Embassy Way Sandown England
PANED O DE PRODUCTIONS LTD,15519741,Active,Private limited company,,,2024-02-24,,,59113 60100,5 Stanhope Lodge 5 Stanhope Lodge Stanhope Drive Cowes PO31 8BH England
MJG GRITS LIMITED,16268665,Active,Private limited company,,,2025-02-21,,,45200,"Cheeks Farm, The Grain Store Merstone Lane Merstone Newport PO30 3DE United Kingdom"
P.E. COMPOSITES LIMITED,04778142,Active,Private limited company,,,2003-05-28,,,32990,"Unit 5a Daish Way Newport PO30 5XB "
SL & AP LIMITED,08506128,Active,Private limited company,,,2013-04-26,,,74990,"5a Daish Way Newport PO30 5XB "
BRINKCLIFFE GARDENS MANAGEMENT COMPANY LIMITED,03722093,Active,Private limited company,,,1999-02-26,,,98000,"8 Gunville Road Newport PO30 5LB "
MOTORHOME TOURS LIMITED,08547531,Active,Private limited company,,,2013-05-29,,,79120,Exchange House St Cross Lane Newport PO30 5BZ England
CITIZENS ADVICE ISLE OF WIGHT COMMUNITY INTEREST COMPANY,15912394,Active,Private limited by guarantee without share capital,Community Interest Company (CIC),,2024-08-22,,,56102,11 Town Lane Newport PO30 1JU England
VICTORIA COURT (SHANKLIN) MANAGEMENT COMPANY LIMITED,02581101,Active,Private limited company,,,1991-02-08,,,98000,"Allegri & Co 16c Sandown Road Lake PO36 9JP "
TRADE SOLUTIONS (IW) LTD,16279047,Active,Private limited company,,,2025-02-26,,,41202,2 Lushington Hill Wootton Bridge Ryde PO33 4NT England
BLACK CREEK LTD,11341718,Active,Private limited company,,,2018-05-02,,,82990,East Quay Kite Hill Wootton Bridge PO33 4LA England
81 MONKTON STREET (RYDE) RESIDENTS ASSOCIATION LIMITED,02456945,Active,Private limited company,,,1990-01-08,,,98000,"Flat A, 81 Flat A, 81 Monkton Street Ryde PO33 2BY England"
ACE SERVICES (IOW) LIMITED,09402108,Active,Private limited company,,,2015-01-22,,,33140,Unit 8 Enterprise Court Nicholson Road Ryde PO33 1BD England
FOX PROPERTY LIMITED,04176253,Active,Private limited company,,,2001-03-09,,,68310,"182 High Street Ryde PO33 2PN "
COLLIER DESIGN SERVICES LIMITED,09828367,Active,Private limited company,,,2015-10-16,,,71121,2 Luton Cottages Pallance Lane Cowes PO31 8PX United Kingdom
WILD ISLAND LIMITED,10059606,Active,Private limited company,,,2016-03-12,,,10890,Unit A La Langbridge Business Park Newchurch PO36 0NP England
BALANCE TALENT SOLUTIONS LTD,14984719,Active,Private limited company,,,2023-07-06,,,78109,"8 Argyll Street, Ryde PO33 3BZ England"
OBEYESEKERE COMPOSITE LTD,16310647,Active,Private limited company,,,2025-03-12,,,71122,12 Yelfs Road Ryde PO33 2LY United Kingdom
HYBRID MACHINE INTELLIGENCE LTD,16305960,Active,Private limited company,,,2025-03-11,,,99999,11 Melville Street Sandown PO36 8LF United Kingdom
LITTLE WHITCOMBE FARM LIMITED,10228544,Active,Private limited company,,,2016-06-13,,,99999,Little Whitcombe Farm Whitcombe Road Carisbrooke Newport PO30 3DX England
WIND LANE LIMITED,15335346,Active,Private limited company,,,2023-12-08,,,33190,"21 York Street Cowes PO31 7BS "
EMILY RICHES LIMITED,15548810,Active,Private limited company,,,2024-03-08,,,96090,Vision Accounting Fortis House Cothey Way Ryde PO33 1QT United Kingdom
DESIGNER LINGERIE LTD,11878635,Active,Private limited company,,,2019-03-13,,,47710 47820,40 Terminus Road Cowes PO31 7TN England
RS KEYS LIMITED,16316681,Active,Private limited company,,,2025-03-14,,,47190,Flat 1 Kinglsey Court 3a York Road Sandown PO36 8ET United Kingdom
CONISTON HOUSE RESIDENTS ASSOCIATION LIMITED,01800010,Active,Private limited company,,,1984-03-14,,,98000,"The Estate Office Church Mews Whippingham PO32 6LW "
